reservation_date,country_from,reserved_room_type,customer_type
7/1/2015,PRT,C,Transient
7/1/2015,PRT,C,Transient
7/1/2015,GBR,A,Transient
7/1/2015,GBR,A,Transient
7/1/2015,GBR,A,Transient
7/1/2015,GBR,A,Transient
7/1/2015,PRT,C,Transient
7/1/2015,PRT,C,Transient
7/1/2015,PRT,A,Transient
7/1/2015,PRT,D,Transient
7/1/2015,PRT,E,Transient
7/1/2015,PRT,D,Transient
7/1/2015,USA,D,Transient
7/1/2015,ESP,G,Transient
7/1/2015,PRT,E,Transient
7/1/2015,IRL,D,Transient
7/1/2015,PRT,E,Contract
7/1/2015,IRL,A,Transient
7/1/2015,FRA,A,Transient
7/1/2015,GBR,G,Transient
7/1/2015,GBR,F,Transient
7/1/2015,PRT,A,Transient
7/1/2015,PRT,A,Transient
7/1/2015,PRT,D,Transient
7/1/2015,GBR,D,Contract
7/1/2015,PRT,D,Transient
7/1/2015,IRL,D,Contract
7/1/2015,PRT,E,Transient
7/1/2015,PRT,A,Transient
7/1/2015,PRT,D,Transient
7/1/2015,NULL,A,Transient
7/1/2015,GBR,D,Transient
7/1/2015,PRT,E,Transient
7/2/2015,IRL,A,Transient
7/2/2015,PRT,D,Transient
7/2/2015,PRT,D,Transient
7/2/2015,ESP,A,Transient
7/2/2015,PRT,D,Transient
7/2/2015,PRT,D,Transient
7/2/2015,ROU,E,Transient
7/2/2015,PRT,G,Transient
7/2/2015,IRL,D,Contract
7/2/2015,ESP,F,Transient
7/2/2015,ROU,E,Transient
7/2/2015,PRT,A,Transient
7/2/2015,PRT,G,Transient
7/2/2015,ESP,A,Transient
7/2/2015,NOR,E,Transient-Party
7/2/2015,GBR,A,Contract
7/2/2015,IRL,E,Transient
7/2/2015,NOR,D,Transient-Party
7/2/2015,IRL,A,Contract
7/2/2015,OMN,D,Contract
7/2/2015,ESP,A,Transient
7/2/2015,ARG,H,Transient
7/2/2015,ESP,C,Transient
7/2/2015,PRT,H,Transient
7/2/2015,PRT,A,Transient
7/2/2015,PRT,G,Transient
7/2/2015,USA,A,Transient
7/2/2015,PRT,G,Transient
7/2/2015,IRL,E,Transient
7/2/2015,ESP,F,Transient
7/2/2015,IRL,A,Contract
7/2/2015,PRT,A,Transient
7/3/2015,USA,G,Transient
7/3/2015,ESP,A,Transient
7/3/2015,POL,D,Transient
7/3/2015,PRT,A,Transient
7/3/2015,PRT,A,Transient
7/3/2015,PRT,D,Transient
7/3/2015,PRT,A,Transient
7/3/2015,PRT,A,Transient
7/3/2015,ESP,A,Transient
7/3/2015,PRT,A,Transient
7/3/2015,ESP,A,Transient
7/3/2015,PRT,E,Transient
7/3/2015,PRT,A,Transient
7/3/2015,DEU,A,Transient
7/3/2015,PRT,D,Transient
7/3/2015,FRA,A,Contract
7/3/2015,PRT,A,Contract
7/3/2015,GBR,A,Contract
7/3/2015,PRT,A,Transient
7/3/2015,GBR,E,Contract
7/3/2015,GBR,E,Contract
7/3/2015,GBR,F,Transient
7/3/2015,PRT,A,Transient
7/3/2015,GBR,A,Transient
7/3/2015,PRT,A,Transient
7/3/2015,ESP,A,Transient
7/3/2015,PRT,E,Transient
7/3/2015,USA,C,Transient
7/3/2015,BEL,A,Transient
7/3/2015,PRT,A,Transient
7/3/2015,PRT,A,Transient
7/3/2015,PRT,F,Transient
7/3/2015,ESP,E,Transient
7/3/2015,PRT,D,Transient
7/3/2015,DEU,E,Transient
7/4/2015,ESP,A,Transient
7/4/2015,FRA,D,Transient
7/4/2015,FRA,F,Transient
7/4/2015,PRT,A,Transient
7/4/2015,PRT,E,Transient
7/4/2015,PRT,H,Transient
7/4/2015,PRT,D,Transient
7/4/2015,PRT,A,Transient
7/4/2015,PRT,A,Transient
7/4/2015,PRT,A,Transient
7/4/2015,CHE,D,Transient
7/4/2015,PRT,E,Transient
7/4/2015,GBR,A,Transient
7/4/2015,PRT,E,Transient
7/4/2015,PRT,E,Transient
7/4/2015,PRT,A,Transient
7/4/2015,GBR,D,Contract
7/4/2015,PRT,D,Contract
7/4/2015,PRT,D,Transient
7/4/2015,PRT,H,Transient
7/4/2015,PRT,D,Contract
7/4/2015,PRT,A,Transient
7/4/2015,PRT,E,Transient
7/4/2015,PRT,A,Transient
